Panel,Title,Chart,plotter,Description,Used for selection,Responds to selected
Case Card,Case Trace(map),Graph or ?,,,,
Activity Card,Activity to Case Ratio (rework rate),Gauge,,Shows average activity frequency per case,--,Activity
Activity Overview,Activity frequency,bar/pie,,shows distribution of tasks over activities (task types),Activity,
Case Card,Case lifetime view,timeline,timevis,Time line view of the case from birth to death,,Case
Case Card,Case (Total/Mean/Median/…) (Throughput/Idle/Waiting/Process/Suspension) Time,infobox,,,,
Case Overview,Case List,Table,DT,"Shows list of cases in a table. Columns: Case ID, Total Waiting time, total processing time, start, end, first activity, last activity, trace, …",Case,
Task Overview,Task list,Table,DT,"Shows list of tasks for selected activites, agents",Tasks,
Case Overview,StatusTime bar chart for each case,bar,,Horizontal Stack bar-chart showing status sequence and time spent on each status (one bar for each case),,
Case Overview,StatusTime bar chart for each trace,bar,,Horizontal Stack bar-chart showing status sequence and average/total time spent on each status (one bar for each trace),,
Case Overview,"Volume-Age time series (Status, Activity, Team, Agent Levels)",line/bar/area,,Shows volume of cases in each status/activity/team at each age,,
Activity Card,Next/Previous activity distribution,Pie,,,,Activity
Process Overview,Activity Adjacency Matrix,Heatmap,,"Shows: relative_antecedent, relative_consequent and absoulte frequency depending on user's selection",--,--
  Process Overview,Process Flow (Activity Level),Sankey,networkD3,,,Relative Frequency Threshold
Process Overview,Total Processing Time,infobox,,,,
Process Overview,Average processing time,infobox,,,,
Process Overview,"Process Flow (Status, Team, agent,activity, actGroup Level)",Sankey,networkD3,,,
Agent Overview,Agent Social Work Handover Map,Graph,diagramer,"Shows the employee network, user can select between time and frequency",Agent,RFT for Agent Map
Agent Overview,Agent Adjacency Matrix (Social Work Handover Matrix),Heatmap,,,,
Activity Overview,Activity Processing Time,Box,,"Shows min, 1st quartile, median, 3rd quartile, max and average activity processing time in a box plot ",Activity,
Activity Overview,Activity Idle Time (Waiting time),Box,,"Shows min, 1st quartile, median, 3rd quartile, max and average activity idle time in a box plot  (requres arrival events to be given in event log)",Activity,
Agent Overview,Agent Processing Time,Box,,"Shows min, 1st quartile, median, 3rd quartile, max and average agent productive time in a box plot ",Agent,
Agent Overview,Agent Idle Time,Box,,,Agent,
Process Overview,process.map,Graph,diagramer,process map on status/team/agent/activity/actGroup Level showing all transitions in a graph,,
Process Overview,process.map,Graph,visNetwork,process map on status/team/agent/activity/actGroup Level showing all transitions in a graph,,
Process Overview,"Process Map (Time Series) (Team, Status, agent, activity)",Graph,,"A set of process maps where edge widths and node sizes vary over time, node size reflects backlog and edge width reflect volume in/out",,
Process Overview,process.tree,SankeyTree,,"In a process tree, repeating nodes will have a different label (status/team/activity/agent levels)",,
Activity Overview,Activity Volin/Volout/Backlog History,tsline/tsbar/tsarea,,"Shows count of live tasks (Backlog) per activity (time series aggregated: hourly, daily, weekly, monthly)",,
Activity Overview,Volin/volout/backlog History per activity,tsline/tsbar/tsarea,,Timeseries showing history of task volume-in distributed over activities,,
Agent Card,Agent Processing/idle Time per activity,Heatmap/bar,,"Similar as Agent-Skill matrix in SO, shows each agent's average processing time per activity",,
Agent Card,Agent (Total/mean/…) time distribution over activities (percentage and absolute),pie/donut//treemap,,Distribution of time spent over activities (idle time is also shown like an activity) (percentage is only used for total time),,
Agent Card,Agent (Total/mean/…) time distribution over activities as time series (Weekly/Daily/…) (percentage and absolute),pie/donut/treemap,,"A series of pie charts showing distribution of time spent over activities per day for example (idle time is also shown like an activity). For example, on each week, how much time spent on each activity and how much was idle?   (percentage is only used for total time)",,
Agent Card,Agent (Total/mean/…) Time spent history (distributed per activity+idle),tsline/tsbar/tsarea,,,,
Agent Card,Agent Volume-out distribution per activity,pie,,,,
Agent Card,Agent Volume-out History,tsline/tsbar/tsarea,,,,
